SchoolName,Link,Accreditation,Level,Address
N/A,N/A,N/A,Nursery - 12,"Itahari, Sunsari"
N/A,N/A,N/A,Nursery - 12,"Anarmani-3, Birtamod, Jhapa"
N/A,N/A,N/A,Nursery - 12,"Bharatpur-10, Chitwan"
N/A,N/A,N/A,Nursery - 12,"Krishnapur-4, Bharatpur, Chitwan"
N/A,N/A,N/A,Nursery - 12,"Malakheti Atariya, Godawari, Kailali"
N/A,N/A,N/A,Nursery - 12,"Banepa, Kavrepalanchok"
N/A,N/A,N/A,Nursery - 12,"Dhangadhi, Kailali"
N/A,N/A,N/A,Nursery - 12,"Gaur, Gaur, Rautahat"
N/A,N/A,N/A,Nursery - 12,"Lalbandi, Sarlahi"
N/A,N/A,N/A,Nursery - 11,"Bhanu Chowk, Janakpur, Janakpurdham, Dhanusha"
N/A,N/A,N/A,Nursery - 12,"Birendranagar-6, Surkhet"
N/A,N/A,N/A,Nursery - 12,"Nepalgunj, Banke"
N/A,N/A,N/A,PG - 12,"Kamaladi, Ganeshthan-28, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Ghorahi, Dang"
N/A,N/A,N/A,Nursery - 12,"Biratnagar, Morang"
N/A,N/A,N/A,Nursery - 12,"Gadhimai, Rautahat"
N/A,N/A,N/A,Nursery - 12,"Sundarharaicha-6, Morang"
N/A,N/A,N/A,PG - 12,"Hetauda-4, Makwanpur"
N/A,N/A,N/A,Nursery - 12,"Simraungadh-7, Bara"
N/A,N/A,N/A,Nursery - 12,"Janakpurdham-8, Janakpurdham, Dhanusha"
N/A,N/A,N/A,Nursery - 12,"Golbazar-4, Siraha"
N/A,N/A,N/A,Nursery - 12,Siraha
N/A,N/A,N/A,Nursery - 12,"M P Road-8, Nepalgunj, Banke"
N/A,N/A,N/A,Nursery - 12,"Kalankisthan, Kalanki, Kathmandu"
N/A,N/A,N/A,1 - 12,"Minbhawan, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Balmandir-10, Bharatpur, Chitwan"
N/A,N/A,N/A,Nursery - 12,"Sukhanagar, Butwal, Rupandehi"
N/A,N/A,N/A,Nursery - 12,"Darchha, Rampur, Palpa"
N/A,N/A,N/A,Nursery - 12,"Dharahari-9, Dewahi Gonahi, Rautahat"
N/A,N/A,N/A,Nursery - 12,"Pokhariya-4, Parsa"
N/A,N/A,N/A,Nursery - 12,"Pathari Shanishchare-1, Morang"
N/A,N/A,N/A,Nursery - 12,"Gaighat, Triyuga, Udayapur"
N/A,N/A,N/A,Nursery - 12,"Tulsipur-6, Dang"
N/A,N/A,N/A,Nursery - 12,"Mahankal-6, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Rachhachaur-4, Tulsipur, Dang"
N/A,N/A,N/A,Nursery - 12,"Kupondole, Lalitpur"
N/A,N/A,N/A,Nursery - 12,"Hakim Chowk-10, Bharatpur, Chitwan"
N/A,N/A,N/A,Nursery - 12,"Palikhechowk, Pokhara, Kaski"
N/A,N/A,N/A,Nursery - 12,"Ranibagaicha-1, Sainamaina, Rupandehi"
N/A,N/A,N/A,Nursery - 12,"Chandrapur, Rautahat"
N/A,N/A,N/A,Nursery - 12,"Narayanpur, Ghorahi, Dang"
